vuln_id,affected_package,ecosystem,severity,fix_commits_found,functions_mined,num_functions_mined,functions_in_call_graph,num_in_call_graph,reachability_verdicts,has_unreachable,source_repo
GHSA-6rw7-vpxm-498p,qs,npm,MODERATE,1,parseObject,1,parseObject,1,,False,ljharb/qs
GHSA-w7fw-mjwx-w883,qs,npm,LOW,1,,0,,0,,False,ljharb/qs
GHSA-wqch-xfxh-vrr4,body-parser,npm,MODERATE,1,createQueryParser,1,,0,,False,expressjs/body-parser
GHSA-27v5-c462-wpq7,path-to-regexp,npm,MODERATE,0,,0,,0,,False,
GHSA-j3q9-mxjg-w52f,path-to-regexp,npm,HIGH,0,,0,,0,,False,
GHSA-f23m-r3pf-42rh,lodash,npm,MODERATE,0,,0,,0,,False,
GHSA-r5fr-rjxr-66jc,lodash,npm,HIGH,1,,0,,0,,False,lodash/lodash
GHSA-xxjr-mmjv-4gpg,lodash,npm,MODERATE,1,Vo;Xc;Ye,3,,0,,False,lodash/lodash
GHSA-3p68-rc4w-qgx5,axios,npm,MODERATE,4,isLoopbackHost;isLoopbackIPv4;normalizeNoProxyHost;parseNoProxyEntry;sanitizeHeaderValue;setProxy,6,,0,,False,axios/axios
GHSA-43fc-jf86-j433,axios,npm,HIGH,4,_setImmediate;computeConfigValue;endsWith;extend;findKey;forEach;forEachEntry;freezeMethods;hasOwnProperty;headersToObject;isArrayBufferView;isBoolean;isBuffer;isContextDefined;isEmptyObject;isFormData;isObject;isStream;isTypedArray;kindOf;matchAll;merge;noop;reduceDescriptors;replacer;stripBOM;toArray;toCamelCase;toFiniteNumber;toFlatObject;toJSONObject;trim;typeOfTest,33,extend;toFlatObject;isFormData,3,,False,axios/axios
GHSA-4hjh-wcwx-xvwj,axios,npm,HIGH,5,estimateDataURLDecodedBytes;flushOnFinish;tailIsPct3D;toFiniteNumber,4,,0,,False,axios/axios
GHSA-fvcv-3m26-pcqx,axios,npm,MODERATE,5,assertValidHeaderValue;isValidHeaderValue;stack;stripTrailingCRLF,4,,0,,False,axios/axios
GHSA-jr5f-v2jv-69x6,axios,npm,HIGH,3,,0,,0,,False,axios/axios
GHSA-fjxv-7rqg-78g4,form-data,npm,CRITICAL,1,,0,,0,,False,form-data/form-data
GHSA-r4q5-vmmm-2653,follow-redirects,npm,MODERATE,1,RedirectableRequest;escapeRegex;isArray;isSubdomain;isURL,5,,0,,False,follow-redirects/follow-redirects
GHSA-23c5-xmqv-rm74,minimatch,npm,HIGH,1,partsToRegExp,1,,0,,False,isaacs/minimatch
GHSA-3ppc-4f35-3m26,minimatch,npm,HIGH,1,,0,,0,,False,isaacs/minimatch
GHSA-7r86-cg39-jmmj,minimatch,npm,HIGH,1,,0,,0,,False,isaacs/minimatch
GHSA-f886-m6hf-6m8v,brace-expansion,npm,MODERATE,6,expand,1,,0,,False,juliangruber/brace-expansion
GHSA-v6h2-p8h4-qcjw,brace-expansion,npm,LOW,5,expand,1,,0,,False,juliangruber/brace-expansion
GHSA-5j98-mcp5-4vw2,glob,npm,HIGH,2,,0,,0,,False,isaacs/node-glob
GHSA-3xgq-45jj-v275,cross-spawn,npm,HIGH,4,escapeArgument,1,,0,,False,moxystudio/node-cross-spawn
GHSA-93q8-gq69-wqmw,ansi-regex,npm,HIGH,4,,0,,0,,False,chalk/ansi-regex
GHSA-9hjg-9r4m-mvj7,requests,pypi,MODERATE,2,get_netrc_auth,1,,0,,False,psf/requests
GHSA-gc5v-m9x4-r6x2,requests,pypi,MODERATE,1,extract_zipped_paths,1,,0,,False,psf/requests
GHSA-xqr8-7jwr-rhp7,certifi,pypi,HIGH,1,,0,,0,,False,certifi/python-certifi
GHSA-jjg7-2v4v-x38h,idna,pypi,MODERATE,1,,0,,0,,False,kjd/idna
GHSA-2xpw-w6gg-jr37,urllib3,pypi,HIGH,1,BrotliDecoder;BytesQueueBuffer;GzipDecoder;ZstdDecoder;__init__;_decode;_decompress;_init_decoder;decompress;flush;get;has_unconsumed_tail;read;read1;read_chunked;stream;test_brotlipy;tests_impl,18,read;stream;read_chunked;__init__;_init_decoder,5,,False,urllib3/urllib3
GHSA-34jh-p97f-mpxf,urllib3,pypi,MODERATE,2,Retry,1,,0,,False,urllib3/urllib3
GHSA-g4mx-q9vg-27p4,urllib3,pypi,MODERATE,3,_is_ssl_error_message_from_http_proxy;_prepare_for_method_change;encodingrequest;getlist;headers_and_params;redirect;urlopen,7,,0,,False,urllib3/urllib3
GHSA-gwvm-45gx-3cf8,urllib3,pypi,MODERATE,1,__init__;urlopen,2,__init__,1,,False,urllib3/urllib3
GHSA-mh33-7rrq-662w,urllib3,pypi,HIGH,1,__init__;idna_encode;ssl_wrap_socket;urlopen,4,__init__;ssl_wrap_socket,2,,False,urllib3/urllib3
GHSA-pq67-6m6q-mj2v,urllib3,pypi,MODERATE,1,__init__;encodingrequest;urlopen,3,__init__,1,,False,urllib3/urllib3
GHSA-r64q-w8jr-g9qp,urllib3,pypi,MODERATE,0,,0,,0,,False,urllib3/urllib3
GHSA-v845-jxx5-vc9f,urllib3,pypi,HIGH,2,Retry,1,,0,,False,urllib3/urllib3
GHSA-wqvq-5m8c-6g24,urllib3,pypi,MODERATE,2,ConnectionError;connect;putrequest,3,connect,1,,False,urllib3/urllib3
GHSA-www2-v7xj-xrc6,urllib3,pypi,CRITICAL,2,Retry;__init__;urlopen,3,__init__,1,,False,urllib3/urllib3
GHSA-5jqp-qgf6-3pvh,pydantic,pypi,MODERATE,4,get_numeric,1,,0,,False,samuelcolvin/pydantic
GHSA-mr82-8j83-vxmv,pydantic,pypi,MODERATE,3,_build_pretty_email_regex;_validate;validate;validate_email,4,,0,,False,pydantic/pydantic
GHSA-2c2j-9gv5-cj73,starlette,pypi,MODERATE,1,__init__;_in_memory;_will_roll,3,,0,,False,encode/starlette
GHSA-7f5h-v6xp-fcq8,starlette,pypi,HIGH,2,MalformedRangeHeader;RangeNotSatisfiable;__call__;__init__;_handle_multiple_ranges;_handle_simple;_handle_single_range;_parse_range_header;_parse_ranges;_should_use_range;generate_multipart;set_stat_headers;wrap,13,,0,,False,Kludex/starlette
GHSA-cpwx-vrp4-4pq7,jinja2,pypi,MODERATE,1,do_reverse,1,,0,,False,pallets/jinja
GHSA-38jv-5279-wg99,urllib3,pypi,HIGH,1,drain_conn;redirect,2,,0,,False,urllib3/urllib3
GHSA-48p4-8xcf-vxj5,urllib3,pypi,MODERATE,1,_is_node_js;has_jspi;send_jspi_request,3,,0,,False,urllib3/urllib3
GHSA-gm62-xv2j-4w53,urllib3,pypi,HIGH,1,MultiDecoder,1,,0,,False,urllib3/urllib3
